Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,ds,predicted_Sales,predicted_Customers
125,164,4,2015-09-17,1,1,0,0,2015-09-17,5918,602
126,165,4,2015-09-17,1,1,0,0,2015-09-17,3876,423
127,166,4,2015-09-17,1,1,0,0,2015-09-17,5587,786
128,168,4,2015-09-17,1,1,0,0,2015-09-17,7708,789
129,169,4,2015-09-17,1,1,0,0,2015-09-17,6601,651
130,170,4,2015-09-17,1,1,0,0,2015-09-17,5134,556
131,171,4,2015-09-17,1,1,0,0,2015-09-17,8627,909
132,172,4,2015-09-17,1,1,0,0,2015-09-17,6250,807
133,174,4,2015-09-17,1,1,0,0,2015-09-17,5527,432
134,175,4,2015-09-17,1,1,0,0,2015-09-17,6093,704
135,176,4,2015-09-17,1,1,0,0,2015-09-17,5409,661
136,179,4,2015-09-17,1,1,0,0,2015-09-17,7285,974
137,180,4,2015-09-17,1,1,0,0,2015-09-17,7328,854
138,181,4,2015-09-17,1,1,0,0,2015-09-17,7175,740
139,182,4,2015-09-17,1,1,0,0,2015-09-17,5497,428
140,183,4,2015-09-17,1,1,0,0,2015-09-17,4861,665
141,184,4,2015-09-17,1,1,0,0,2015-09-17,6435,599
142,186,4,2015-09-17,1,1,0,0,2015-09-17,3812,372
143,187,4,2015-09-17,1,1,0,0,2015-09-17,5980,784
144,188,4,2015-09-17,1,1,0,0,2015-09-17,4846,423
145,189,4,2015-09-17,1,1,0,0,2015-09-17,8861,844
146,190,4,2015-09-17,1,1,0,0,2015-09-17,6905,619
147,191,4,2015-09-17,1,1,0,0,2015-09-17,6153,695
148,192,4,2015-09-17,1,1,0,0,2015-09-17,8001,574
149,193,4,2015-09-17,1,1,0,0,2015-09-17,4922,755
150,194,4,2015-09-17,1,1,0,0,2015-09-17,5117,453
151,195,4,2015-09-17,1,1,0,0,2015-09-17,10351,1258
152,197,4,2015-09-17,1,1,0,0,2015-09-17,6871,790
153,199,4,2015-09-17,1,1,0,0,2015-09-17,8155,638
154,200,4,2015-09-17,1,1,0,0,2015-09-17,7677,953
155,201,4,2015-09-17,1,1,0,0,2015-09-17,5580,474
156,202,4,2015-09-17,1,1,0,0,2015-09-17,6037,507
157,204,4,2015-09-17,1,1,0,0,2015-09-17,5226,522
158,206,4,2015-09-17,1,1,0,0,2015-09-17,7799,928
159,207,4,2015-09-17,1,1,0,0,2015-09-17,11485,1333
160,209,4,2015-09-17,1,1,0,0,2015-09-17,6033,680
161,210,4,2015-09-17,1,1,0,0,2015-09-17,3299,328
162,212,4,2015-09-17,1,1,0,0,2015-09-17,4567,458
163,213,4,2015-09-17,1,1,0,0,2015-09-17,8632,694
164,214,4,2015-09-17,1,1,0,0,2015-09-17,8744,672
165,215,4,2015-09-17,1,1,0,0,2015-09-17,6194,472
166,216,4,2015-09-17,1,1,0,0,2015-09-17,7337,906
167,217,4,2015-09-17,1,1,0,0,2015-09-17,5089,647
168,218,4,2015-09-17,1,1,0,0,2015-09-17,5555,787
169,219,4,2015-09-17,1,1,0,0,2015-09-17,3311,440
170,220,4,2015-09-17,1,1,0,0,2015-09-17,5102,658
171,221,4,2015-09-17,1,1,0,0,2015-09-17,5886,552
172,224,4,2015-09-17,1,1,0,0,2015-09-17,6699,499
173,226,4,2015-09-17,1,1,0,0,2015-09-17,7276,721
174,227,4,2015-09-17,1,1,0,0,2015-09-17,8387,752
175,228,4,2015-09-17,1,1,0,0,2015-09-17,7723,572
176,229,4,2015-09-17,1,1,0,0,2015-09-17,9241,770
177,230,4,2015-09-17,1,1,0,0,2015-09-17,7479,944
178,231,4,2015-09-17,1,1,0,0,2015-09-17,4733,391
179,233,4,2015-09-17,1,1,0,0,2015-09-17,9202,1015
180,234,4,2015-09-17,1,1,0,0,2015-09-17,10622,1031
181,235,4,2015-09-17,1,1,0,0,2015-09-17,6580,539
182,238,4,2015-09-17,1,1,0,0,2015-09-17,7961,1130
183,239,4,2015-09-17,1,1,0,0,2015-09-17,5219,505
184,241,4,2015-09-17,1,1,0,0,2015-09-17,6382,691
185,242,4,2015-09-17,1,1,0,0,2015-09-17,4292,371
186,243,4,2015-09-17,1,1,0,0,2015-09-17,7233,991
187,244,4,2015-09-17,1,1,0,0,2015-09-17,5259,525
188,245,4,2015-09-17,1,1,0,0,2015-09-17,9130,1070
189,246,4,2015-09-17,1,1,0,0,2015-09-17,7357,965
190,247,4,2015-09-17,1,1,0,0,2015-09-17,8786,704
191,248,4,2015-09-17,1,1,0,0,2015-09-17,8037,1104
192,249,4,2015-09-17,1,1,0,0,2015-09-17,5449,572
193,250,4,2015-09-17,1,1,0,0,2015-09-17,8548,654
194,251,4,2015-09-17,1,1,0,0,2015-09-17,18113,2385
195,252,4,2015-09-17,1,1,0,0,2015-09-17,10628,789
196,253,4,2015-09-17,1,1,0,0,2015-09-17,5662,729
197,254,4,2015-09-17,1,1,0,0,2015-09-17,2860,252
198,255,4,2015-09-17,1,1,0,0,2015-09-17,5876,600
199,256,4,2015-09-17,1,1,0,0,2015-09-17,9628,1242
200,258,4,2015-09-17,1,1,0,0,2015-09-17,5497,498
201,259,4,2015-09-17,1,1,0,0,2015-09-17,11776,2453
202,262,4,2015-09-17,1,1,0,0,2015-09-17,18288,3056
203,263,4,2015-09-17,1,1,0,0,2015-09-17,3453,334
204,265,4,2015-09-17,1,1,0,0,2015-09-17,4967,519
205,267,4,2015-09-17,1,1,0,0,2015-09-17,9072,1108
206,268,4,2015-09-17,1,1,0,0,2015-09-17,5259,635
207,269,4,2015-09-17,1,1,0,0,2015-09-17,9393,1276
208,272,4,2015-09-17,1,1,0,0,2015-09-17,7118,693
209,273,4,2015-09-17,1,1,0,0,2015-09-17,6929,740
210,274,4,2015-09-17,1,1,0,0,2015-09-17,3507,934
211,275,4,2015-09-17,1,1,0,0,2015-09-17,7180,711
212,277,4,2015-09-17,1,1,0,0,2015-09-17,6218,522
213,278,4,2015-09-17,1,1,0,0,2015-09-17,7172,814
214,279,4,2015-09-17,1,1,0,0,2015-09-17,8461,641
215,280,4,2015-09-17,1,1,0,0,2015-09-17,6323,591
216,281,4,2015-09-17,1,1,0,0,2015-09-17,5743,539
217,283,4,2015-09-17,1,1,0,0,2015-09-17,6564,675
218,284,4,2015-09-17,1,1,0,0,2015-09-17,5015,391
219,285,4,2015-09-17,1,1,0,0,2015-09-17,4833,451
220,287,4,2015-09-17,1,1,0,0,2015-09-17,7707,776
221,288,4,2015-09-17,1,1,0,0,2015-09-17,5946,447
222,289,4,2015-09-17,1,1,0,0,2015-09-17,6024,538
223,290,4,2015-09-17,1,1,0,0,2015-09-17,7080,697
224,294,4,2015-09-17,1,1,0,0,2015-09-17,6163,822
225,295,4,2015-09-17,1,1,0,0,2015-09-17,5280,678
226,296,4,2015-09-17,1,1,0,0,2015-09-17,7016,822
227,297,4,2015-09-17,1,1,0,0,2015-09-17,7089,729
228,298,4,2015-09-17,1,1,0,0,2015-09-17,8666,686
229,299,4,2015-09-17,1,1,0,0,2015-09-17,6236,714
230,300,4,2015-09-17,1,1,0,0,2015-09-17,7593,902
231,301,4,2015-09-17,1,1,0,0,2015-09-17,5784,620
232,302,4,2015-09-17,1,1,0,0,2015-09-17,3687,316
233,303,4,2015-09-17,1,1,0,0,2015-09-17,6281,690
234,304,4,2015-09-17,1,1,0,0,2015-09-17,7205,1107
235,305,4,2015-09-17,1,1,0,0,2015-09-17,5384,520
236,306,4,2015-09-17,1,1,0,0,2015-09-17,4312,480
237,308,4,2015-09-17,1,1,0,0,2015-09-17,9225,952
238,309,4,2015-09-17,1,1,0,0,2015-09-17,7640,645
239,310,4,2015-09-17,1,1,0,0,2015-09-17,8749,756
240,311,4,2015-09-17,1,1,0,0,2015-09-17,6729,854
241,312,4,2015-09-17,1,1,0,0,2015-09-17,5904,566
242,314,4,2015-09-17,1,1,0,0,2015-09-17,5338,611
243,315,4,2015-09-17,1,1,0,0,2015-09-17,4419,471
244,316,4,2015-09-17,1,1,0,0,2015-09-17,9789,911
245,317,4,2015-09-17,1,1,0,0,2015-09-17,4906,516
246,319,4,2015-09-17,1,1,0,0,2015-09-17,7577,836
247,320,4,2015-09-17,1,1,0,0,2015-09-17,14779,2083
248,323,4,2015-09-17,1,1,0,0,2015-09-17,7098,606
249,325,4,2015-09-17,1,1,0,0,2015-09-17,8524,942
250,326,4,2015-09-17,1,1,0,0,2015-09-17,5065,427
251,328,4,2015-09-17,1,1,0,0,2015-09-17,4580,550
252,329,4,2015-09-17,1,1,0,0,2015-09-17,7012,674
253,330,4,2015-09-17,1,1,0,0,2015-09-17,4077,447
254,331,4,2015-09-17,1,1,0,0,2015-09-17,6233,852
255,333,4,2015-09-17,1,1,0,0,2015-09-17,10583,1389
256,334,4,2015-09-17,1,1,0,0,2015-09-17,5430,560
257,335,4,2015-09-17,1,1,0,0,2015-09-17,15998,2703
258,336,4,2015-09-17,1,1,0,0,2015-09-17,13962,1998
259,337,4,2015-09-17,1,1,0,0,2015-09-17,4376,356
260,338,4,2015-09-17,1,1,0,0,2015-09-17,7244,615
261,339,4,2015-09-17,1,1,0,0,2015-09-17,5464,738
262,340,4,2015-09-17,1,1,0,0,2015-09-17,6644,746
263,341,4,2015-09-17,1,1,0,0,2015-09-17,5568,764
264,342,4,2015-09-17,1,1,0,0,2015-09-17,11874,909
265,343,4,2015-09-17,1,1,0,0,2015-09-17,7600,736
266,344,4,2015-09-17,1,1,0,0,2015-09-17,9225,1234
267,345,4,2015-09-17,1,1,0,0,2015-09-17,4436,493
268,346,4,2015-09-17,1,1,0,0,2015-09-17,6858,642
269,347,4,2015-09-17,1,1,0,0,2015-09-17,4732,406
270,348,4,2015-09-17,1,1,0,0,2015-09-17,7826,668
271,350,4,2015-09-17,1,1,0,0,2015-09-17,7180,542
272,351,4,2015-09-17,1,1,0,0,2015-09-17,5842,530
273,352,4,2015-09-17,1,1,0,0,2015-09-17,6269,624
274,353,4,2015-09-17,1,1,0,0,2015-09-17,5282,1450
275,354,4,2015-09-17,1,1,0,0,2015-09-17,7893,679
276,355,4,2015-09-17,1,1,0,0,2015-09-17,9695,1206
277,356,4,2015-09-17,1,1,0,0,2015-09-17,5329,442
278,358,4,2015-09-17,1,1,0,0,2015-09-17,9938,1079
279,359,4,2015-09-17,1,1,0,0,2015-09-17,6540,595
280,362,4,2015-09-17,1,1,0,0,2015-09-17,10828,1364
281,364,4,2015-09-17,1,1,0,0,2015-09-17,5619,673
282,365,4,2015-09-17,1,1,0,0,2015-09-17,5260,579
283,367,4,2015-09-17,1,1,0,0,2015-09-17,5543,566
284,368,4,2015-09-17,1,1,0,0,2015-09-17,9824,745
285,369,4,2015-09-17,1,1,0,0,2015-09-17,6841,580
286,370,4,2015-09-17,1,1,0,0,2015-09-17,8074,667
287,371,4,2015-09-17,1,1,0,0,2015-09-17,6657,552
288,372,4,2015-09-17,1,1,0,0,2015-09-17,8737,747
289,373,4,2015-09-17,1,1,0,0,2015-09-17,4409,315
290,377,4,2015-09-17,1,1,0,0,2015-09-17,7769,1004
291,378,4,2015-09-17,1,1,0,0,2015-09-17,6228,961
292,379,4,2015-09-17,1,1,0,0,2015-09-17,4160,489
293,380,4,2015-09-17,1,1,0,0,2015-09-17,13935,1351
294,383,4,2015-09-17,1,1,0,0,2015-09-17,17827,2332
295,385,4,2015-09-17,1,1,0,0,2015-09-17,7200,613
296,386,4,2015-09-17,1,1,0,0,2015-09-17,7864,615
297,387,4,2015-09-17,1,1,0,0,2015-09-17,9081,1167
298,388,4,2015-09-17,1,1,0,0,2015-09-17,10407,1165
299,389,4,2015-09-17,1,1,0,0,2015-09-17,10741,1327
300,391,4,2015-09-17,1,1,0,0,2015-09-17,5880,727
301,392,4,2015-09-17,1,1,0,0,2015-09-17,7502,769
302,393,4,2015-09-17,1,1,0,0,2015-09-17,5917,582
303,394,4,2015-09-17,1,1,0,0,2015-09-17,8382,637
304,395,4,2015-09-17,1,1,0,0,2015-09-17,3928,532
305,397,4,2015-09-17,1,1,0,0,2015-09-17,5480,765
306,398,4,2015-09-17,1,1,0,0,2015-09-17,5464,602
307,399,4,2015-09-17,1,1,0,0,2015-09-17,5499,540
308,403,4,2015-09-17,1,1,0,0,2015-09-17,7331,731
309,404,4,2015-09-17,1,1,0,0,2015-09-17,4790,618
310,405,4,2015-09-17,1,1,0,0,2015-09-17,5023,542
311,406,4,2015-09-17,1,1,0,0,2015-09-17,6085,485
312,407,4,2015-09-17,1,1,0,0,2015-09-17,3886,304
313,408,4,2015-09-17,1,1,0,0,2015-09-17,4565,436
314,409,4,2015-09-17,1,1,0,0,2015-09-17,5702,576
315,410,4,2015-09-17,1,1,0,0,2015-09-17,6319,767
316,411,4,2015-09-17,1,1,0,0,2015-09-17,9077,702
317,412,4,2015-09-17,1,1,0,0,2015-09-17,8219,577
318,413,4,2015-09-17,1,1,0,0,2015-09-17,7166,914
319,414,4,2015-09-17,1,1,0,0,2015-09-17,6276,473
320,415,4,2015-09-17,1,1,0,0,2015-09-17,6097,502
321,416,4,2015-09-17,1,1,0,0,2015-09-17,11341,1492
322,417,4,2015-09-17,1,1,0,0,2015-09-17,8331,872
323,418,4,2015-09-17,1,1,0,0,2015-09-17,5250,559
324,420,4,2015-09-17,1,1,0,0,2015-09-17,4355,409
325,421,4,2015-09-17,1,1,0,0,2015-09-17,7538,823
326,422,4,2015-09-17,1,1,0,0,2015-09-17,4531,467
327,424,4,2015-09-17,1,1,0,0,2015-09-17,6562,770
328,425,4,2015-09-17,1,1,0,0,2015-09-17,3355,468
329,426,4,2015-09-17,1,1,0,0,2015-09-17,4888,642
330,427,4,2015-09-17,1,1,0,0,2015-09-17,8297,793
331,428,4,2015-09-17,1,1,0,0,2015-09-17,6281,517
332,429,4,2015-09-17,1,1,0,0,2015-09-17,5471,432
333,430,4,2015-09-17,1,1,0,0,2015-09-17,8847,732
334,431,4,2015-09-17,1,1,0,0,2015-09-17,9357,1057
335,432,4,2015-09-17,1,1,0,0,2015-09-17,11747,1676
336,433,4,2015-09-17,1,1,0,0,2015-09-17,5978,696
337,434,4,2015-09-17,1,1,0,0,2015-09-17,9223,697
338,435,4,2015-09-17,1,1,0,0,2015-09-17,3014,383
339,440,4,2015-09-17,1,1,0,0,2015-09-17,5095,590
340,441,4,2015-09-17,1,1,0,0,2015-09-17,6349,692
341,442,4,2015-09-17,1,1,0,0,2015-09-17,4332,445
342,445,4,2015-09-17,1,1,0,0,2015-09-17,7881,1237
343,446,4,2015-09-17,1,1,0,0,2015-09-17,5332,682
344,447,4,2015-09-17,1,1,0,0,2015-09-17,4956,556
345,448,4,2015-09-17,1,1,0,0,2015-09-17,8453,766
346,449,4,2015-09-17,1,1,0,0,2015-09-17,11281,1602
347,450,4,2015-09-17,1,1,0,0,2015-09-17,9011,1129
348,451,4,2015-09-17,1,1,0,0,2015-09-17,5533,463
349,452,4,2015-09-17,1,1,0,0,2015-09-17,5245,504
350,453,4,2015-09-17,1,1,0,0,2015-09-17,7753,945
351,455,4,2015-09-17,1,1,0,0,2015-09-17,6703,462
352,456,4,2015-09-17,1,1,0,0,2015-09-17,6293,951
353,457,4,2015-09-17,1,1,0,0,2015-09-17,4716,409
354,458,4,2015-09-17,1,1,0,0,2015-09-17,6785,647
355,459,4,2015-09-17,1,1,0,0,2015-09-17,9861,1254
356,461,4,2015-09-17,1,1,0,0,2015-09-17,4147,425
357,463,4,2015-09-17,1,1,0,0,2015-09-17,6062,942
358,465,4,2015-09-17,1,1,0,0,2015-09-17,7535,589
359,466,4,2015-09-17,1,1,0,0,2015-09-17,8180,802
360,467,4,2015-09-17,1,1,0,0,2015-09-17,13101,1624
361,468,4,2015-09-17,1,1,0,0,2015-09-17,5199,600
362,470,4,2015-09-17,1,1,0,0,2015-09-17,15043,1982
363,471,4,2015-09-17,1,1,0,0,2015-09-17,6972,584
364,472,4,2015-09-17,1,1,0,0,2015-09-17,5038,657
365,473,4,2015-09-17,1,1,0,0,2015-09-17,3801,537
366,475,4,2015-09-17,1,1,0,0,2015-09-17,6002,957
367,477,4,2015-09-17,1,1,0,0,2015-09-17,6418,466
368,481,4,2015-09-17,1,1,0,0,2015-09-17,5112,478
369,484,4,2015-09-17,1,1,0,0,2015-09-17,7003,673
370,485,4,2015-09-17,1,1,0,0,2015-09-17,4402,411
371,486,4,2015-09-17,1,1,0,0,2015-09-17,4685,593
372,487,4,2015-09-17,1,1,0,0,2015-09-17,7030,652
373,488,4,2015-09-17,1,1,0,0,2015-09-17,3498,374
374,490,4,2015-09-17,1,1,0,0,2015-09-17,7740,1024
375,491,4,2015-09-17,1,1,0,0,2015-09-17,6730,551
376,492,4,2015-09-17,1,1,0,0,2015-09-17,7463,1099
377,493,4,2015-09-17,1,1,0,0,2015-09-17,8510,789
378,495,4,2015-09-17,1,1,0,0,2015-09-17,5436,409
379,497,4,2015-09-17,1,1,0,0,2015-09-17,8935,1106
380,498,4,2015-09-17,1,1,0,0,2015-09-17,5967,781
381,499,4,2015-09-17,1,1,0,0,2015-09-17,4760,674
382,500,4,2015-09-17,1,1,0,0,2015-09-17,5026,372
383,501,4,2015-09-17,1,1,0,0,2015-09-17,5511,600
384,502,4,2015-09-17,1,1,0,0,2015-09-17,11214,1528
385,504,4,2015-09-17,1,1,0,0,2015-09-17,6491,925
386,505,4,2015-09-17,1,1,0,0,2015-09-17,4717,585
387,506,4,2015-09-17,1,1,0,0,2015-09-17,7653,832
388,507,4,2015-09-17,1,1,0,0,2015-09-17,8517,668
389,508,4,2015-09-17,1,1,0,0,2015-09-17,6773,668
390,509,4,2015-09-17,1,1,0,0,2015-09-17,6485,544
391,510,4,2015-09-17,1,1,0,0,2015-09-17,8465,905
392,511,4,2015-09-17,1,1,0,0,2015-09-17,5449,767
393,512,4,2015-09-17,1,1,0,0,2015-09-17,4902,1230
394,514,4,2015-09-17,1,1,0,0,2015-09-17,6107,627
395,515,4,2015-09-17,1,1,0,0,2015-09-17,8631,709
396,516,4,2015-09-17,1,1,0,0,2015-09-17,6242,824
397,517,4,2015-09-17,1,1,0,0,2015-09-17,5898,657
398,518,4,2015-09-17,1,1,0,0,2015-09-17,5557,477
399,519,4,2015-09-17,1,1,0,0,2015-09-17,4926,519
400,520,4,2015-09-17,1,1,0,0,2015-09-17,3791,392
401,521,4,2015-09-17,1,1,0,0,2015-09-17,5617,444
402,522,4,2015-09-17,1,1,0,0,2015-09-17,8119,622
403,524,4,2015-09-17,1,1,0,0,2015-09-17,8377,919
404,527,4,2015-09-17,1,1,0,0,2015-09-17,10231,968
405,528,4,2015-09-17,1,1,0,0,2015-09-17,11462,976
406,529,4,2015-09-17,1,1,0,0,2015-09-17,8008,768
407,530,4,2015-09-17,1,1,0,0,2015-09-17,5930,1005
408,531,4,2015-09-17,1,1,0,0,2015-09-17,4866,620
409,532,4,2015-09-17,1,1,0,0,2015-09-17,10050,1195
410,533,4,2015-09-17,1,1,0,0,2015-09-17,9665,966
411,534,4,2015-09-17,1,1,0,0,2015-09-17,7742,567
412,535,4,2015-09-17,1,1,0,0,2015-09-17,8675,998
413,536,4,2015-09-17,1,1,0,0,2015-09-17,8307,879
414,537,4,2015-09-17,1,1,0,0,2015-09-17,5513,598
415,538,4,2015-09-17,1,1,0,0,2015-09-17,3892,581
416,539,4,2015-09-17,1,1,0,0,2015-09-17,10303,1077
417,540,4,2015-09-17,1,1,0,0,2015-09-17,5317,380
418,541,4,2015-09-17,1,1,0,0,2015-09-17,6032,800
